id,name,sourceName
NM_68_1,benefit claimants 5% data - working age client group,dwp_5pc
NM_69_1,benefit claimants 5% data - working age families,dwp_5pc
NM_70_1,benefit claimants 5% data - children of working age clients,dwp_5pc
NM_71_1,benefit claimants 5% data - pensionable age,dwp_5pc
NM_73_1,benefit payments 5% data - pension credit,dwp_5pc
NM_74_1,benefit payments 5% data - state pension,dwp_5pc
NM_75_1,benefit payments 5% data - IB/SDA,dwp_5pc
NM_76_1,benefit payments 5% data - income support,dwp_5pc
NM_77_1,benefit payments 5% data - jobseekers allowance,dwp_5pc
NM_78_1,benefit payments 5% data - attendance allowance,dwp_5pc
NM_79_1,benefit payments 5% data - disability living allowance,dwp_5pc
NM_80_1,claimant count stocks,jsa
NM_81_1,registrants stocks,jsa
NM_82_1,registrants stocks - published,jsa
NM_83_1,registrants - age and duration,jsa
NM_84_1,registrants - age and duration,jsa
NM_85_1,claimant flows,jsa
NM_87_1,labour force survey - quarterly: four quarter averages,aps
NM_88_1,2001 census - census area statistics theme tables,census_2001
NM_89_1,vacancies - summary analysis,vacs
NM_90_1,vacancies - unfilled by duration and occupation,vacs
NM_91_1,vacancies - outflow by duration and occupation,vacs
NM_92_1,vacancies - unfilled by duration and industry,vacs
NM_93_1,vacancies - outflow by duration and industry,vacs
NM_94_1,2001 census - theme tables,census_2001
NM_96_1,Jobseeker's Allowance flows by occupation,jsa
NM_97_1,Jobseeker's Allowance on-flows by occupation and age,jsa
NM_98_1,"Jobseeker's Allowance off-flows by occupation, age and duration",jsa
NM_99_1,annual survey of hours and earnings - workplace analysis,ashe
NM_100_1,annual population survey - workplace analysis,aps
NM_101_1,Jobseeker's Allowance off-flows by reason and occupation,jsa
NM_102_1,"Jobseeker's Allowance off-flows by reason, occupation, age and duration",jsa
NM_103_1,benefit claimants - working age clients for small areas,dwp_wpls
NM_105_1,benefit claimants - working age client group,dwp_wpls
NM_106_1,benefit payments - incapacity benefit / severe disablement,dwp_wpls
NM_107_1,benefit claimants - IB/SDA for small areas,dwp_wpls
NM_108_1,benefit claimants - income support for small areas,dwp_wpls
NM_109_1,benefit claimants - pension credits for small areas,dwp_wpls
NM_110_1,benefit claimants - disability living allowance for small areas,dwp_wpls
NM_111_1,benefit claimants - job seekers allowance for small areas,dwp_wpls
NM_112_1,benefit claimants - state pension for small areas,dwp_wpls
NM_113_1,benefit payments - income support,dwp_wpls
NM_114_1,benefit payments - pension credits,dwp_wpls
NM_115_1,benefit claimants - disability living allowance,dwp_wpls
NM_116_1,benefit payments - carers allowance,dwp_wpls
NM_117_1,benefit claimants - state pension,dwp_wpls
NM_118_1,"Jobseeker's Allowance stocks and flows by ethnicity, age and duration",jsa
NM_119_1,benefit payments - job seekers allowance,dwp_wpls
NM_120_1,2001 census - UK travel flows (local authority),census_2001
NM_123_1,2001 census - Scottish travel flows (local authority),census_2001
NM_124_1,2001 census - UK travel flows (ward),census_2001
NM_127_1,model-based estimates of unemployment,aps
NM_129_1,Annual Civil Service Employment Survey,acses
NM_130_1,workforce jobs by industry (SIC 2007) - seasonally adjusted,wfj
NM_131_1,workforce jobs by industry (SIC 2007) and sex - unadjusted,wfj
NM_134_1,benefit claimants - employment and support allowance,dwp_wpls
NM_136_1,annual population survey - households by combined economic activity status,aps
NM_137_1,annual population survey - households with dependent children and type,aps
NM_138_1,benefit claimants - disability living allowance by disabling condition,dwp_wpls
NM_141_1,UK Business Counts - local units by industry and employment size band,ukbc
NM_142_1,UK Business Counts - enterprises by industry and employment size band,ukbc
NM_143_1,QS102EW - Population density,census_2011_qs
NM_144_1,KS101EW - Usual resident population,census_2011_ks
NM_145_1,KS102EW - Age structure,census_2011_ks
NM_146_1,"KS403EW - Rooms, bedrooms and central heating",census_2011_ks
NM_150_1,ST102EWla - Population density,census_2011_st
NM_151_1,WD102EW - Population density,census_2011_wd
NM_153_1,QS702EW - Distance travelled to work,census_2011_qs
NM_154_1,WD702EW - Distance travelled to work (Workday population),census_2011_wd
NM_155_1,WP102EW - Population density (Workplace population),census_2011_wp
NM_156_1,WP702EW - Distance travelled to work (Workplace population),census_2011_wp
NM_157_1,OT102EW - Population density (Out of term-time population),census_2011_ot
NM_158_1,KS101UK - Usual resident population,census_2011_ksuk
NM_159_1,KS102UK - Age Structure,census_2011_ksuk
NM_160_1,QS102UK - Population density,census_2011_qsuk
NM_161_1,"Mortality statistics - underlying cause, sex and age",life
NM_162_1,Claimant count by sex and age,cc
NM_164_1,"Marriages of opposite-sex couples in England and Wales by age group, previous legal partnership status and ceremony type",life
NM_165_1,"Marriages of opposite-sex couples in England and Wales by area of occurrence, broad age group, previous legal partnership status and ceremony type",life
NM_167_1,"Divorces of opposite-sex couples, England and Wales",life
NM_168_1,annual population survey - regional - employment by occupation (SOC2010),aps
NM_169_1,annual population survey - regional - nationality,Nomis
NM_170_1,annual population survey - regional - labour market status by age,aps
NM_172_1,Business Register and Employment Survey (excluding units registered for PAYE only) : open access,bres
NM_173_1,Business Register and Employment Survey (excluding units registered for PAYE only) public / private sector : open access,bres
NM_174_1,Marriages of same-sex couples in England and Wales,life
NM_179_1,annual population survey - regional - country of birth,Nomis
NM_180_1,annual population survey - regional - ethnicity by industry,aps
NM_181_1,annual population survey - regional - economic inactivity by reasons,aps
NM_184_1,Annual Civil Service Employment Survey with professions,Nomis
NM_185_1,Regional gross disposable household income (GDHI) at current basic prices,ra
NM_186_1,Annual Business Inquiry employee analysis : safeguarded access,bres
NM_187_1,Annual Business Inquiry employee analysis : open access,bres
NM_189_1,Business Register and Employment Survey : open access,bres
NM_190_1,Business Register and Employment Survey public/private sector  : open access,bres
NM_191_1,Annual Business Inquiry employee analysis (SIC 2007) : safeguarded access,bres
NM_192_1,Annual Business Inquiry employee analysis (SIC 2007) : open access,bres
NM_193_1,Annual Employment Survey employee analysis : safeguarded access,bres
NM_194_1,Annual Employment Survey employee analysis : open access,bres
NM_195_1,Annual Employment Survey rescaled employee analysis : safeguarded access,bres
NM_196_1,Annual Employment Survey rescaled employee analysis : open access,bres
NM_197_1,Census of Employment employee analysis : safeguarded access,bres
NM_198_1,Census of Employment employee analysis : open access,bres
NM_199_1,UK Business Counts - enterprises by industry and turnover size band,Nomis
NM_200_1,Business Register and Employment Survey : safeguarded access,bres
NM_201_1,Business Register and Employment Survey (excluding units registered for PAYE only) : safeguarded access,bres
NM_203_1,Live births in England and Wales by sex and characteristics of mother : national/regional,life
NM_204_1,Live births in England and Wales by characteristics of mother and father,life
NM_205_1,Live births in England and Wales down to local authority local area,life
NM_206_1,Live births in England and Wales for small geographic areas,life
NM_207_1,Live births in England and Wales : birth rates down to local authority areas,life
NM_210_1,annual population survey - regional - occupation (SOC2010) by sex by employment type,aps
NM_213_1,Census of Employment employee analysis (SIC 68) : safeguarded access,Nomis
NM_214_1,Census of Employment employee analysis (SIC 68) : Open access,Nomis
NM_218_1,annual population survey - regional - occupation (SOC2020) by sex by employment type,aps
NM_501_1,QS101EW - Residence type,census_2011_qs
NM_503_1,QS103EW - Age by single year,census_2011_qs
NM_504_1,QS104EW - Sex,census_2011_qs
NM_505_1,QS105EW - Schoolchildren and full-time students at their non term-time address,census_2011_qs
NM_506_1,QS106EW - Second address,census_2011_qs
NM_507_1,Age,Nomis
NM_508_1,QS108EW - Living Arrangements,census_2011_qs
NM_509_1,Population,Nomis
NM_510_1,QS110EW - Adult lifestage (alternative adult definition),census_2011_qs
NM_511_1,QS111EW - Household lifestage,census_2011_qs
NM_512_1,QS112EW - Household composition - People,census_2011_qs
NM_513_1,QS113EW - Household composition - Households,census_2011_qs
NM_514_1,QS114EW - Household composition (alternative child and adult definition) - People,census_2011_qs
NM_515_1,QS115EW - Household composition (alternative child and adult definition) - Households,census_2011_qs
NM_516_1,QS116EW - Household type,census_2011_qs
NM_517_1,QS117EW - People aged 18 to 64 living in a one adult household,census_2011_qs
NM_518_1,QS118EW - Families with dependent children,census_2011_qs
NM_519_1,QS119EW - Households by deprivation dimensions,census_2011_qs
NM_520_1,Ethnic Group,Nomis
NM_521_1,QS121EW - Armed Forces,census_2011_qs
NM_522_1,QS201EW - Ethnic group,census_2011_qs
NM_523_1,QS202EW - Multiple ethnic groups,census_2011_qs
NM_524_1,QS203EW - Country of birth (detailed),census_2011_qs
NM_525_1,QS204EW - Main language (detailed),census_2011_qs
NM_526_1,QS205EW - Proficiency in English,census_2011_qs
NM_527_1,QS206WA - Welsh language skills,census_2011_qs
NM_528_1,QS207WA - Welsh language skills (detailed),census_2011_qs
NM_529_1,QS208EW - Religion,census_2011_qs
NM_530_1,QS301EW - Provision of unpaid care,census_2011_qs
NM_531_1,QS302EW - General health,census_2011_qs
NM_532_1,QS303EW - Long-term health problem or disability,census_2011_qs
NM_533_1,QS401EW - Accommodation type - People,census_2011_qs
NM_534_1,QS402EW - Accommodation type - Households,census_2011_qs
NM_535_1,QS403EW - Tenure - People,census_2011_qs
NM_536_1,QS404EW - Tenure - Household Reference Person aged 65 and over,census_2011_qs
NM_537_1,QS405EW - Tenure - Households,census_2011_qs
NM_538_1,QS406EW - Household size,census_2011_qs
NM_539_1,QS407EW - Number of rooms,census_2011_qs
NM_540_1,QS408EW - Occupancy rating (rooms),census_2011_qs
NM_541_1,QS409EW - Persons per room - Households,census_2011_qs
NM_542_1,QS410EW - Persons per room - People,census_2011_qs
NM_543_1,QS411EW - Number of bedrooms,census_2011_qs
NM_544_1,QS412EW - Occupancy rating (bedrooms),census_2011_qs
NM_545_1,QS413EW - Persons per bedroom - Households,census_2011_qs
NM_546_1,QS414EW - Persons per bedroom - People,census_2011_qs
NM_547_1,QS415EW - Central heating,census_2011_qs
NM_548_1,QS416EW - Car or van availability,census_2011_qs
NM_549_1,QS417EW - Household spaces,census_2011_qs
NM_550_1,QS418EW - Dwellings,census_2011_qs
NM_551_1,QS419EW - Position in communal establishment,census_2011_qs
NM_552_1,QS420EW - Communal establishment management and type - Communal establishments,census_2011_qs
NM_553_1,QS421EW - Communal establishment management and type - People,census_2011_qs
NM_554_1,QS501EW - Highest level of qualification,census_2011_qs
NM_555_1,QS502EW - Qualifications gained,census_2011_qs
NM_556_1,QS601EW - Economic activity,census_2011_qs
NM_557_1,QS602EW - Economic activity of Household Reference Person,census_2011_qs
NM_558_1,QS603EW - Economic activity - Full-time students,census_2011_qs
NM_559_1,QS604EW - Hours worked,census_2011_qs
NM_560_1,QS605EW - Industry,census_2011_qs
NM_561_1,QS606EW - Occupation (Minor Groups),census_2011_qs
NM_562_1,QS607EW - NS-SeC,census_2011_qs
NM_563_1,QS608EW - NS-SeC of Household Reference Person - People aged under 65,census_2011_qs
NM_564_1,QS609EW - NS-SeC of Household Reference Person - People,census_2011_qs
NM_565_1,QS610EW - NS-SeC of Household Reference Person (HRP) - HRP Aged under 65,census_2011_qs
NM_566_1,QS611EW - Approximated Social Grade,census_2011_qs
NM_567_1,QS612EW - Year last worked,census_2011_qs
NM_568_1,QS701EW - Method of travel to work,census_2011_qs
NM_569_1,QS801EW - Year of arrival in the UK,census_2011_qs
NM_570_1,QS802EW - Age of arrival in the UK,census_2011_qs
NM_571_1,QS803EW - length of residence in the UK,census_2011_qs
NM_573_1,QS210EW - Religion (detailed),census_2011_qs
NM_574_1,CT0010 - Ethnic group (write-in responses),census_2011_ct
NM_575_1,QS211EW - Ethnic group (detailed),census_2011_qs
NM_576_1,QS703EW - Method of Travel to Work (2001 specification),census_2011_qs
NM_577_1,QS212EW - Passports held,census_2011_qs
NM_578_1,QS213EW - Country of birth (expanded),census_2011_qs
NM_579_1,QS214EW - National Identity (detailed),census_2011_qs
NM_580_1,QS613EW - Approximated social grade,census_2011_qs
NM_582_1,Marital Status,Nomis
NM_583_1,Country of Birth,Nomis
NM_584_1,Economic Position - all persons,Nomis
NM_585_1,Economic Position - males,Nomis
NM_586_1,Economic Position - Females,Nomis
NM_587_1,Hours Worked,Nomis
NM_588_1,Industry,Nomis
NM_589_1,Occupation,Nomis
NM_590_1,Qualifications,Nomis
NM_603_1,KS103EW - Marital and civil partnership status,census_2011_ks
NM_604_1,KS104EW - Living arrangements,census_2011_ks
NM_605_1,KS105EW - Household composition,census_2011_ks
NM_606_1,KS106EW - Adults not in employment and dependent children and persons with long-term health problems or disability for all households,census_2011_ks
NM_607_1,KS107EW - Lone parent households with dependent children,census_2011_ks
NM_608_1,KS201EW - Ethnic group,census_2011_ks
NM_609_1,KS202EW - National identity,census_2011_ks
NM_611_1,KS204EW - Country of birth,census_2011_ks
NM_612_1,KS205EW - Passports held,census_2011_ks
NM_613_1,KS206EW - Household language,census_2011_ks
NM_614_1,KS207WA - Welsh language skills,census_2011_ks
NM_615_1,KS208WA - Welsh language profile,census_2011_ks
NM_616_1,KS209EW - Religion,census_2011_ks
NM_617_1,KS301EW - Health and provision of unpaid care,census_2011_ks
NM_618_1,"KS401EW - Dwellings, household spaces and accommodation type",census_2011_ks
NM_619_1,KS402EW - Tenure,census_2011_ks
NM_621_1,KS404EW - Car or van availability,census_2011_ks
NM_622_1,KS405EW - Communal establishment residents,census_2011_ks
NM_623_1,KS501EW - Qualifications and students,census_2011_ks
NM_624_1,KS601EW to KS603EW - Economic activity by sex,census_2011_ks
NM_625_1,KS604EW - Hours worked,census_2011_ks
NM_626_1,KS605EW to KS607EW - Industry by sex,census_2011_ks
NM_627_1,KS608EW to KS610EW - Occupation by sex,census_2011_ks
NM_628_1,KS611EW to KS613EW - NS-SeC by sex,census_2011_ks
NM_651_1,DC2101EW - Ethnic group by sex by age,census_2011_dc
NM_652_1,DC2102EW - National identity by sex by age,census_2011_dc
NM_653_1,DC2103EW - Country of birth by sex by age,census_2011_dc
NM_654_1,DC2104EW - Main Language by sex by age,census_2011_dc
NM_655_1,DC2105EW - Proficiency in English  by sex by age,census_2011_dc
NM_657_1,DC2107EW - Religion by sex by age,census_2011_dc
NM_658_1,DC2108EW - Passports held by sex by age,census_2011_dc
NM_659_1,DC2201EW - Ethnic Group by Religion,census_2011_dc
NM_660_1,DC2202EW - National identity by ethnic group,census_2011_dc
NM_661_1,DC2203WA - Ability to speak Welsh skills by national identity by sex by age,census_2011_dc
NM_662_1,DC2204EW - National identity by religion,census_2011_dc
NM_663_1,DC2205EW - Country of birth by ethnic group by sex,census_2011_dc
NM_664_1,DC2206WA - Welsh Language Skills by Country of Birth by sex by age,census_2011_dc
NM_665_1,DC2207EW - Country of birth by religion by sex,census_2011_dc
NM_666_1,DC2301EW - Ethnic group by provision of unpaid care by general health,census_2011_dc
NM_667_1,DC2801EW - Ethnic group by age of arrival in the UK,census_2011_dc
NM_668_1,DC2802EW - Country of birth by age of arrival in UK,census_2011_dc
NM_669_1,DC2803EW - Proficiency in English by age of arrival in the UK,census_2011_dc
NM_670_1,DC3201EW - Long-term health problem or disability by general health by ethnic group by sex by age,census_2011_dc
NM_671_1,DC3202WA - Long-term health problem or disability by general health by Welsh language skills by sex by age,census_2011_dc
NM_672_1,DC3203EW - Long-term health problem or disability by general health by religion by sex by age,census_2011_dc
NM_673_1,DC3301EW - Provision of unpaid care by general health by sex by age,census_2011_dc
NM_674_1,DC3302EW - Long term health problem or disability by health by sex by age,census_2011_dc
NM_675_1,DC3601EW - General health by NS-SeC by sex by age,census_2011_dc
NM_676_1,DC3602EW - Long-term health problem or disability by NS-SeC by sex by age,census_2011_dc
NM_677_1,DC6201EW - Economic activity by ethnic group by sex by age,census_2011_dc
NM_679_1,DC6203EW - Economic activity by country of birth by sex by age,census_2011_dc
NM_680_1,DC6204EW - Economic activity by passports held by sex by age,census_2011_dc
NM_681_1,DC6205EW - Economic activity by religion by sex by age,census_2011_dc
NM_682_1,DC6206EW - NS-SeC by ethnic group by sex by age,census_2011_dc
NM_683_1,DC6207EW - NS-SeC by religion by sex by age,census_2011_dc
NM_684_1,DC6301EWla - Economic activity by provision of unpaid care by general health by sex,census_2011_dc
NM_685_1,DC6302EW - Economic activity by hours worked by sex by long-term health problem or disability,census_2011_dc
NM_686_1,DC2109EWr - Country of birth by sex by age (regional),census_2011_dc
NM_687_1,DC2110EWr - Passports held by sex by age (regional),census_2011_dc
NM_688_1,DC2208EWr - Passports held by country of birth (regional),census_2011_dc
NM_689_1,DC2804EWr - Country of birth by year of arrival in the UK (regional),census_2011_dc
NM_690_1,DC2805EWr - Passports held by year of arrival in the UK (regional),census_2011_dc
NM_691_1,DC3303EWr - Provision of unpaid care by general health by sex by age (regional),census_2011_dc
NM_692_1,DC6208EWr - Economic activity by country of birth by sex by age (regional),census_2011_dc
NM_693_1,DC6209EWr - Economic activity by passports held by sex by age (regional),census_2011_dc
NM_694_1,DC1101EW - Marital and civil partnership status by sex by age - Household Reference Persons,census_2011_dc
NM_695_1,DC1102EW - Living arrangements by sex by age - Household Reference Persons,census_2011_dc
NM_696_1,DC2604EW - Proficiency in English by industry by economic activity,census_2011_dc
NM_697_1,DC2605WAla - Ability to speak Welsh by year last worked by age,census_2011_dc
NM_698_1,DC2607WAla - Welsh language skills by industry,census_2011_dc
NM_699_1,DC2106WAla - Welsh language skills by sex by age,census_2011_dc
NM_700_1,DC2608WAla - Welsh language skills by occupation,census_2011_dc
NM_701_1,DC2401WA - Number of people who can speak Welsh by household size,census_2011_dc
NM_702_1,DC2402WA - Ability to speak Welsh by tenure by age - Household Reference Persons,census_2011_dc
NM_703_1,DC2403WA - Welsh language skills by tenure by age - Household Reference Persons,census_2011_dc
NM_704_1,DC2609WAla - Welsh language skills by NS-SeC,census_2011_dc
NM_705_1,DC2610WA - Ability to speak Welsh by year last worked,census_2011_dc
NM_706_1,DC2601WA - Ability of dependent child in a family to speak Welsh by NS-SeC of Household Reference Person by Welsh household composition,census_2011_dc
NM_707_1,DC4101EW - Tenure by household composition,census_2011_dc
NM_708_1,DC4102EW - Number of bedrooms by accommodation type by age of dependent children,census_2011_dc
NM_709_1,DC4103EW - Number of bedrooms by tenure by age of dependent children,census_2011_dc
NM_710_1,DC4201EW - Tenure by ethnic group by age - Household Reference Persons,census_2011_dc
NM_711_1,DC4202EW - Tenure by car or van availability by ethnic group of Household Reference Person (HRP),census_2011_dc
NM_712_1,DC4203EW - Tenure by car or van availability by ethnic group,census_2011_dc
NM_713_1,DC4204EW - Tenure by car or van availability by religion of Household Reference Person (HRP),census_2011_dc
NM_714_1,DC4205EW - Dwelling type by type of central heating in household by occupancy rating (rooms) by ethnic group of Household Reference Person (HRP),census_2011_dc
NM_715_1,DC4206EW - Dwelling type by type of central heating in household by occupancy rating (bedrooms) by ethnic group of Household Reference Person (HRP),census_2011_dc
NM_716_1,DC4207EW - Dwelling type by type of central heating in household by occupancy rating (rooms) by religion of Household Reference Person (HRP),census_2011_dc
NM_717_1,DC4208EW - Dwelling type by type of central heating in household by occupancy rating (bedrooms) by religion of Household Reference Person (HRP),census_2011_dc
NM_718_1,DC2611WA - Ability to speak Welsh by industry,census_2011_dc
NM_719_1,DC4402EW - Accommodation type by type of central heating in household by tenure,census_2011_dc
NM_720_1,DC4403EW - Accommodation type by household spaces,census_2011_dc
NM_721_1,DC4404EW - Tenure by household size by number of rooms,census_2011_dc
NM_722_1,DC4405EW - Tenure by household size by number of bedrooms,census_2011_dc
NM_723_1,DC4406EW - Tenure by number of persons per room in household by accommodation type,census_2011_dc
NM_724_1,DC4407EW - Tenure by number of persons per bedroom in household by accommodation type,census_2011_dc
NM_725_1,DC4408EW - Tenure by number of persons per bedroom in household by household type,census_2011_dc
NM_726_1,DC4601EW - Tenure by economic activity by age - Household Reference Persons,census_2011_dc
NM_727_1,DC4602EWr - Tenure by industry by age - Household Reference Persons (regional),census_2011_dc
NM_728_1,DC2612WA - Ability to speak Welsh by occupation,census_2011_dc
NM_729_1,DC4604EW - Tenure by occupation by age - Household Reference Persons,census_2011_dc
NM_730_1,DC4605EW - Tenure by NS-SeC by age - Household Reference Persons,census_2011_dc
NM_731_1,DC4606EW - Tenure by number of bedrooms by occupation of Household Reference Person (HRP),census_2011_dc
NM_732_1,DC6101EW - NS-SeC by sex by age - Household Reference Persons,census_2011_dc
NM_733_1,DC6102EW - NS-SeC of Household Reference Person (HRP) by households with schoolchildren or full-time students living away during term-time,census_2011_dc
NM_734_1,DC4607EWr - Tenure by occupation by sex by age - Household Reference Persons (regional),census_2011_dc
NM_735_1,DC4608EWr - Tenure by NS-SeC by sex by age - Household Reference Persons (regional),census_2011_dc
NM_736_1,DC1103WAla - Extended Welsh household composition by age of youngest dependent child,census_2011_dc
NM_737_1,DC2112WAla - Extended Welsh household composition by ability to speak Welsh by age of dependent child,census_2011_dc
NM_738_1,DC2209EWr - Country of birth by national identity (regional),census_2011_dc
NM_739_1,DC3204EWr - General health by ethnic group by sex by age (regional),census_2011_dc
NM_740_1,DC3205EWr - Long-term health problem or disability by ethnic group by sex by age (regional),census_2011_dc
NM_741_1,DC6303EWr - NS-SeC by general health by sex by age (regional),census_2011_dc
NM_742_1,DC6304EWr - NS-SeC by long-term health problem or disability by sex by age (regional),census_2011_dc
NM_743_1,DC1104EW - Residence type by sex by age,census_2011_dc
NM_744_1,DC2613WA - Ability to speak Welsh by NS-SeC,census_2011_dc
NM_745_1,DC1106EW - Schoolchildren and full-time students at their non term-time address by sex by age,census_2011_dc
NM_746_1,DC1107EW - Marital and civil partnership status by sex by age,census_2011_dc
NM_747_1,DC1108EW - Living arrangements by sex by age,census_2011_dc
NM_748_1,DC1109EW - Household composition by age by sex,census_2011_dc
NM_749_1,DC1110EWla - Concealed family by family type by dependent children in family by age of Family Reference Person (FRP),census_2011_dc
NM_750_1,DC6107EW - Economic Activity by sex by age,census_2011_dc
NM_751_1,DC1112EWla - Age of youngest dependent child by household type by sex by age,census_2011_dc
NM_752_1,DC1113EW - Age of youngest dependent child by household type,census_2011_dc
NM_753_1,DC6108EW - Economic activity of full-time students by student accommodation by age,census_2011_dc
NM_754_1,DC1115EW - Age of youngest dependent child by family type by marital status by age of Family Reference Person (FRP),census_2011_dc
NM_755_1,DC1201EW - Household composition by ethnic group of Household Reference Person (HRP),census_2011_dc
NM_756_1,DC1202EW - Household composition by religion of Household Reference Person (HRP),census_2011_dc
NM_757_1,DC1203EW - Dependent children by ethnic group of Household Reference Person (HRP) by age,census_2011_dc
NM_758_1,DC1301EW - Household composition by number of people in household with a long-term health problem or disability,census_2011_dc
NM_759_1,DC1401EW - Household composition by car or van availability,census_2011_dc
NM_760_1,DC1402EW - Household composition by number of bedrooms,census_2011_dc
NM_761_1,DC1601EWla - Family status by number of parents working by dependent children in family by economic activity,census_2011_dc
NM_762_1,DC6109EW - Hours worked by sex by age,census_2011_dc
NM_763_1,DC2115WA - Ability to speak Welsh by family type by Welsh speaking parents,census_2011_dc
NM_764_1,DC2116EW - Ethnic group of dependent child by sex,census_2011_dc
NM_765_1,DC2210EWr - Main language by proficiency in English (regional),census_2011_dc
NM_766_1,DC2302EWr - Proficiency in English by general health by sex by age,census_2011_dc
NM_767_1,DC2303EW - Proficiency in English by general health by sex by age,census_2011_dc
NM_768_1,DC2602EW - Proficiency in English by occupation by sex by age,census_2011_dc
NM_769_1,DC4104EWla - Tenure by occupancy rating (rooms) by household composition,census_2011_dc
NM_770_1,DC4105EWla - Tenure by occupancy rating (bedrooms) by household composition,census_2011_dc
NM_771_1,DC6110EW - Industry by sex by age,census_2011_dc
NM_772_1,DC4209EW - Number of persons per room in household by ethnic group of household reference person (HRP),census_2011_dc
NM_773_1,DC2806EW - Passports held by age of arrival in the UK,census_2011_dc
NM_774_1,DC1116EWla - Marital and civil partnership status by sex by age - Communal establishment residents,census_2011_dc
NM_775_1,DC2117EWla - Ethnic group by sex by age - Communal establishment residents,census_2011_dc
NM_776_1,DC2118EWla - Country of birth by age - Communal establishment residents,census_2011_dc
NM_777_1,DC2119EWla - Passports held by sex by age - Communal establishment residents,census_2011_dc
NM_778_1,DC2404WAla - Ability to speak Welsh by communal establishment management and type by position in communal establishment,census_2011_dc
NM_779_1,DC2405WAla - Welsh language skills by communal establishment management and type by position in communal establishment,census_2011_dc
NM_780_1,DC3304EWla - Long-term health problem or disability by general health by age - Communal establishment residents,census_2011_dc
NM_781_1,DC3401EWla - General health by communal establishment management and type by sex by age,census_2011_dc
NM_782_1,DC3402EWla - Long-term health problem or disability by communal establishment management and type by sex by age,census_2011_dc
NM_783_1,DC4107EWla - Position in communal establishment by sex by age,census_2011_dc
NM_784_1,DC4210EWla - Communal establishment management and type by sex by age,census_2011_dc
NM_785_1,DC4211EWla - Communal establishment management and type by ethnic group by sex,census_2011_dc
NM_786_1,DC4409EWla - Communal establishment management and type by religion by sex,census_2011_dc
NM_787_1,DC5101EWla - Highest level of qualification by sex by age - Communal establishment residents,census_2011_dc
NM_788_1,DC6103EWla - Economic activity by sex by age - Communal establishment residents,census_2011_dc
NM_789_1,DC6104EWla -  Industry by sex by age - Communal establishment residents,census_2011_dc
NM_790_1,DC6105EWla - Occupation by sex by age - Communal establishment residents,census_2011_dc
NM_791_1,DC6106EWla - NS-SeC by sex by age - Communal establishment residents,census_2011_dc
NM_792_1,DC1117EW - Sex by single year of age,census_2011_dc
NM_793_1,DC6111EW - Former industry by sex by age,census_2011_dc
NM_794_1,DC6112EW - Occupation by sex by age,census_2011_dc
NM_795_1,DC6113EW - Former occupation by sex by age,census_2011_dc
NM_796_1,DC6114EW - NS-SeC by sex by age,census_2011_dc
NM_797_1,DC6115EW - NS-SeC of Household Reference Person by household composition by sex,census_2011_dc
NM_798_1,DC6116EW - Year last worked by sex by age,census_2011_dc
